Hugo_Symbol	All	TNBC	ER+	ER-	LumA	LumB	Basal	Her2
PRICKLE2	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PRICKLE3	0.004319654427645789	0.0	0.0	0.0	0.0	0.0	0.012345679012345678	0.018867924528301886
PRKAA1	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PRKAA2	0.0064794816414686825	0.005333333333333333	0.005649717514124294	0.009708737864077669	0.004784688995215311	0.0	0.024691358024691357	0.0
PRKAB1	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PRKAG2	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PRKAG3	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.009569377990430622	0.0	0.0	0.0
PRKAR1A	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PRKAR2A	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PRKAR2B	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.0	0.012345679012345678	0.0
PRKCB	0.0064794816414686825	0.005333333333333333	0.005649717514124294	0.009708737864077669	0.009569377990430622	0.0	0.012345679012345678	0.0
PRKCDBP	0.004319654427645789	0.005333333333333333	0.002824858757062147	0.009708737864077669	0.004784688995215311	0.0	0.0	0.018867924528301886
PRKCE	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PRKCG	0.004319654427645789	0.005333333333333333	0.002824858757062147	0.009708737864077669	0.0	0.008928571428571428	0.012345679012345678	0.0
PRKCH	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PRKCQ	0.0064794816414686825	0.005333333333333333	0.005649717514124294	0.009708737864077669	0.004784688995215311	0.008928571428571428	0.0	0.018867924528301886
PRKCSH	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PRKCZ	0.0021598272138228943	0.0	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PRKD1	0.004319654427645789	0.0	0.0	0.009708737864077669	0.0	0.0	0.024691358024691357	0.0
PRKD2	0.01079913606911447	0.013333333333333334	0.014124293785310734	0.0	0.014354066985645933	0.008928571428571428	0.0	0.018867924528301886
PRKD3	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.0	0.0	0.0	0.018867924528301886
PRKDC	0.01511879049676026	0.018666666666666668	0.01694915254237288	0.009708737864077669	0.019138755980861243	0.008928571428571428	0.024691358024691357	0.0
PRKG1	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PRKG2	0.01079913606911447	0.008	0.00847457627118644	0.019417475728155338	0.004784688995215311	0.008928571428571428	0.024691358024691357	0.018867924528301886
PRKRA	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PRKRIR	0.01079913606911447	0.013333333333333334	0.011299435028248588	0.009708737864077669	0.014354066985645933	0.008928571428571428	0.0	0.018867924528301886
PRMT10	0.0064794816414686825	0.005333333333333333	0.005649717514124294	0.009708737864077669	0.009569377990430622	0.0	0.012345679012345678	0.0
PRMT2	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PRMT3	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.004784688995215311	0.008928571428571428	0.0	0.0
PRMT5	0.0064794816414686825	0.005333333333333333	0.002824858757062147	0.019417475728155338	0.004784688995215311	0.0	0.0	0.03773584905660377
PRMT6	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.0	0.017857142857142856	0.0	0.0
PRMT7	0.004319654427645789	0.0026666666666666666	0.002824858757062147	0.009708737864077669	0.0	0.008928571428571428	0.012345679012345678	0.0
PRMT8	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PRND	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.009569377990430622	0.0	0.0	0.0
PROCR	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PRODH2	0.004319654427645789	0.0	0.0	0.019417475728155338	0.0	0.0	0.024691358024691357	0.0
PROK2	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PROM1	0.004319654427645789	0.0026666666666666666	0.002824858757062147	0.009708737864077669	0.004784688995215311	0.0	0.012345679012345678	0.0
PROP1	0.0021598272138228943	0.0026666666666666666	0.0	0.009708737864077669	0.0	0.0	0.0	0.018867924528301886
PROS1	0.0021598272138228943	0.0026666666666666666	0.0	0.009708737864077669	0.0	0.0	0.0	0.018867924528301886
PROSC	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PROX1	0.008639308855291577	0.008	0.00847457627118644	0.009708737864077669	0.004784688995215311	0.008928571428571428	0.012345679012345678	0.0
PROX2	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PROZ	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PRPF3	0.004319654427645789	0.0026666666666666666	0.002824858757062147	0.009708737864077669	0.0	0.008928571428571428	0.012345679012345678	0.0
PRPF38A	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PRPF38B	0.008639308855291577	0.005333333333333333	0.002824858757062147	0.02912621359223301	0.0	0.008928571428571428	0.024691358024691357	0.018867924528301886
PRPF39	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PRPF4	0.004319654427645789	0.0026666666666666666	0.002824858757062147	0.009708737864077669	0.004784688995215311	0.0	0.012345679012345678	0.0
PRPF40B	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PRPF4B	0.0064794816414686825	0.0026666666666666666	0.002824858757062147	0.019417475728155338	0.0	0.008928571428571428	0.024691358024691357	0.0
PRPF8	0.012958963282937365	0.016	0.014124293785310734	0.009708737864077669	0.009569377990430622	0.017857142857142856	0.0	0.03773584905660377
PRPS2	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PRPSAP2	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PRR11	0.004319654427645789	0.0026666666666666666	0.002824858757062147	0.009708737864077669	0.004784688995215311	0.0	0.012345679012345678	0.0
PRR12	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.004784688995215311	0.0	0.012345679012345678	0.0
PRR14	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PRR21	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PRR23B	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PRR3	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.0	0.0	0.018867924528301886
